,location,total_sqft,bath,price,bhk
2391,frazer town,2560.0,3.0,265.0,3
2392,frazer town,2400.0,3.0,260.0,3
2393,frazer town,2560.0,3.0,288.0,3
2394,frazer town,3436.0,5.0,341.0,4
2396,frazer town,1315.0,2.0,140.0,2
2397,frazer town,1706.0,3.0,154.0,3
2398,frazer town,2079.0,3.0,220.0,3
2399,frazer town,3435.0,2.0,341.0,4
2400,frazer town,3436.0,5.0,345.0,4
2401,frazer town,3100.0,3.0,400.0,3
2402,frazer town,5400.0,3.0,400.0,3
2403,frazer town,1180.0,2.0,105.0,2
2404,frazer town,2900.0,4.0,325.0,4
2405,frazer town,1870.0,3.0,180.0,3
2406,frazer town,896.0,1.0,100.0,1
2407,frazer town,1420.0,2.0,120.0,2
2408,garudachar palya,1325.0,2.0,60.8,3
2409,garudachar palya,1060.0,2.0,48.7,2
2410,garudachar palya,1150.0,2.0,52.75,2
2411,garudachar palya,1295.0,2.0,59.5,3
2412,garudachar palya,1320.0,2.0,60.6,3
2413,garudachar palya,1295.0,2.0,59.5,3
2414,garudachar palya,1150.0,2.0,52.8,2
2415,garudachar palya,1150.0,2.0,52.8,2
2416,garudachar palya,1060.0,2.0,48.5,2
2417,garudachar palya,1150.0,2.0,52.5,2
2418,garudachar palya,1325.0,2.0,60.8,3
2419,garudachar palya,1060.0,2.0,48.66,2
2420,garudachar palya,1150.0,2.0,52.0,2
2421,garudachar palya,1154.0,2.0,51.8,2
2423,giri nagar,2400.0,4.0,400.0,4
2424,giri nagar,1800.0,3.0,252.0,3
2425,giri nagar,1350.0,3.0,240.0,3
2426,giri nagar,2400.0,4.0,400.0,4
2427,giri nagar,3000.0,4.0,375.0,6
2428,giri nagar,2400.0,6.0,400.0,6
2429,giri nagar,4000.0,3.0,750.0,4
2430,gm palaya,1820.0,2.0,86.0,3
2431,gm palaya,1225.0,2.0,47.0,2
2432,gm palaya,1140.0,2.0,48.95,2
2433,gm palaya,1315.0,2.0,65.0,3
2434,gm palaya,1315.0,3.0,65.0,3
2435,gm palaya,1315.0,3.0,64.0,3
2436,gm palaya,1735.0,3.0,70.0,3
2437,gm palaya,1643.0,2.0,70.0,3
2438,gm palaya,675.0,1.0,35.0,1
2439,gollarapalya hosahalli,861.0,2.0,34.5,2
2440,gollarapalya hosahalli,1408.0,3.0,62.0,3
2441,gollarapalya hosahalli,861.0,2.0,34.5,2
2442,gollarapalya hosahalli,1318.0,3.0,54.0,3
2443,gollarapalya hosahalli,861.0,2.0,36.5,2
2444,gollarapalya hosahalli,1320.0,3.0,60.0,3
2445,gollarapalya hosahalli,1345.0,3.0,60.0,3
2446,gollarapalya hosahalli,1905.0,3.0,86.0,4
2447,gollarapalya hosahalli,1318.0,3.0,56.0,3
2448,gollarapalya hosahalli,1129.0,2.0,50.0,2
2449,gottigere,1100.0,2.0,40.0,2
2450,gottigere,967.0,2.0,45.0,2
2451,gottigere,1618.0,3.0,82.5,3
2452,gottigere,1222.0,2.0,63.0,2
2454,gottigere,1300.0,3.0,65.0,3
2455,gottigere,950.0,2.0,38.0,2
2456,gottigere,1153.0,2.0,48.5,2
2457,gottigere,812.0,1.0,26.0,1
2459,gottigere,1460.0,2.0,65.0,3
2460,gottigere,1500.0,3.0,70.0,3
2461,gottigere,1621.0,3.0,72.0,3
2462,gottigere,812.0,1.0,26.0,1
2463,gottigere,990.0,2.0,40.0,2
2464,gottigere,1235.0,2.0,63.0,2
2465,gottigere,1385.0,3.0,64.0,3
2466,gottigere,1000.0,2.0,35.0,2
2467,gottigere,1010.0,2.0,35.0,2
2469,gottigere,1410.0,2.0,45.0,2
2471,gottigere,1435.0,2.0,62.0,3
2472,gottigere,945.0,2.0,45.0,2
2474,gottigere,2500.0,3.0,120.0,4
2475,gottigere,1230.0,2.0,52.0,3
2476,gottigere,1120.0,2.0,50.0,2
2477,gottigere,1500.0,3.0,63.0,3
2478,gottigere,1200.0,2.0,40.0,2
2479,gottigere,1280.0,2.0,61.0,2
2480,gottigere,1205.0,2.0,56.58,2
2481,gottigere,1170.0,2.0,40.0,2
2482,gottigere,3000.0,3.0,132.0,4
2483,gottigere,1613.0,3.0,72.0,3
2484,gottigere,1110.0,2.0,36.25,2
2485,gottigere,1245.0,2.0,59.0,2
2486,gottigere,1200.0,2.0,50.0,2
2487,green glen layout,1670.0,3.0,120.0,3
2488,green glen layout,3250.0,4.0,230.0,4
2489,green glen layout,1776.42,3.0,105.0,3
2490,green glen layout,3250.0,4.0,230.0,4
2491,green glen layout,940.0,2.0,56.8,2
2492,green glen layout,1075.0,2.0,60.0,2
2493,green glen layout,1715.0,3.0,115.0,3
2494,green glen layout,1751.0,2.0,115.0,3
2495,green glen layout,1750.0,3.0,130.0,3
2496,green glen layout,1530.0,3.0,105.0,3
2497,green glen layout,1752.0,3.0,105.0,3
2498,green glen layout,1680.0,4.0,95.0,3
2499,green glen layout,1728.0,3.0,125.0,3
2500,green glen layout,1645.0,3.0,110.0,3
2501,green glen layout,1517.0,3.0,100.0,3
2502,green glen layout,3150.0,4.0,218.0,4
2504,green glen layout,1750.0,3.0,120.0,3
2505,green glen layout,1751.0,3.0,115.0,3
2506,green glen layout,1750.0,3.0,105.0,3
2507,green glen layout,1885.0,3.0,135.0,3
2508,green glen layout,1715.0,3.0,120.0,3
2509,green glen layout,1623.29,2.0,105.0,3
2510,green glen layout,1715.0,3.0,115.0,3
2511,green glen layout,1715.0,3.0,105.0,3
2512,green glen layout,1600.0,3.0,105.0,3
2513,green glen layout,1717.0,3.0,125.0,3
2514,green glen layout,1250.0,2.0,75.0,2
2515,green glen layout,1715.0,3.0,112.0,3
2516,gubbalala,1470.0,2.0,82.0,3
2517,gubbalala,1745.0,3.0,104.0,3
2518,gubbalala,1745.0,3.0,115.0,3
2519,gubbalala,1745.0,3.0,110.0,3
2520,gubbalala,1650.0,3.0,71.0,3
2521,gubbalala,2570.0,4.0,141.0,5
2522,gubbalala,1205.0,2.0,70.0,2
2523,gubbalala,1435.0,2.0,80.0,3
2524,gubbalala,1475.0,2.0,80.0,2
2526,gubbalala,1100.0,2.0,49.5,2
2527,gubbalala,1060.0,2.0,46.0,2
2528,gubbalala,2000.0,3.0,125.0,3
2530,gunjur,1140.0,2.0,43.0,2
2531,gunjur,1356.0,2.0,66.0,3
2532,gunjur,1600.0,3.0,75.0,3
2533,gunjur,2000.0,3.0,95.0,4
2534,gunjur,1140.0,2.0,49.11,2
2535,gunjur,1195.0,2.0,44.0,2
2536,gunjur,1190.0,2.0,40.0,2
2537,gunjur,1457.0,2.0,60.0,2
2538,gunjur,1080.0,2.0,41.0,2
2541,gunjur,1175.0,2.0,43.48,2
2542,gunjur,1362.0,3.0,62.63,3
2543,gunjur,1071.0,2.0,51.0,2
2544,gunjur,1063.0,2.0,40.0,2
2545,gunjur,1235.0,2.0,52.76,2
2546,gunjur,1362.0,3.0,62.63,3
2547,gunjur,1362.0,3.0,62.63,3
2548,gunjur,1588.0,2.0,90.0,3
2549,gunjur,1235.0,2.0,44.5,2
2550,gunjur,1457.0,2.0,60.0,2
2551,hal 2nd stage,1490.0,2.0,300.0,3
2552,hal 2nd stage,2100.0,3.0,252.0,3
2553,hal 2nd stage,600.0,3.0,145.0,2
2554,hal 2nd stage,2700.0,3.0,500.0,3
2555,hal 2nd stage,2040.0,4.0,500.0,5
2556,haralur road,1240.0,2.0,70.0,2
2557,haralur road,1027.0,2.0,44.0,2
2559,haralur road,2650.0,4.0,198.0,4
2561,haralur road,1194.0,2.0,47.0,2
2562,haralur road,1202.0,2.0,53.0,2
2563,haralur road,1056.0,2.0,61.0,2
2565,haralur road,1810.0,3.0,100.0,3
2566,haralur road,1194.0,2.0,46.0,2
2568,haralur road,1225.0,2.0,67.38,2
2569,haralur road,1243.0,2.0,46.0,2
2570,haralur road,1027.0,2.0,44.0,2
2571,haralur road,1920.0,3.0,115.0,3
2572,haralur road,1875.0,3.0,110.0,3
2573,haralur road,1194.0,2.0,47.0,2
2574,haralur road,1140.0,2.0,43.0,2
2575,haralur road,1027.0,2.0,44.0,2
2576,haralur road,1194.0,2.0,46.0,2
2577,haralur road,2017.0,3.0,125.0,3
2578,haralur road,1140.0,2.0,43.0,2
2579,haralur road,1875.0,3.0,110.0,3
2580,haralur road,1092.0,2.0,44.0,2
2581,haralur road,2475.0,4.0,130.0,3
2582,haralur road,1300.0,2.0,73.0,2
2583,haralur road,1194.0,2.0,47.0,2
2584,haralur road,1243.0,2.0,46.0,2
2585,haralur road,1850.0,3.0,110.0,3
2586,haralur road,1225.0,2.0,67.38,2
2587,haralur road,1243.0,2.0,46.0,2
2588,haralur road,3400.0,5.0,240.0,4
2589,haralur road,1464.0,2.0,56.0,2
2590,haralur road,1230.0,2.0,78.0,2
2591,haralur road,1000.0,2.0,44.0,2
2593,haralur road,1300.0,2.0,79.0,2
2594,haralur road,1444.0,2.0,80.0,3
2595,haralur road,1088.0,2.0,68.0,2
2596,haralur road,1027.0,2.0,44.0,2
2598,haralur road,1225.0,2.0,70.0,2
2600,haralur road,1194.0,2.0,46.0,2
2601,haralur road,1830.0,3.0,101.0,3
2602,haralur road,1810.0,3.0,126.0,3
2603,haralur road,1464.0,2.0,56.0,2
2604,haralur road,1520.0,2.0,96.0,3
2605,haralur road,1300.0,2.0,75.0,2
2606,haralur road,2017.0,2.0,125.0,3
2607,haralur road,1243.0,2.0,46.0,2
2608,haralur road,1027.0,2.0,44.0,2
2609,haralur road,2805.0,5.0,160.0,4
2610,haralur road,1243.0,2.0,46.0,2
2611,haralur road,1027.0,2.0,44.0,2
2612,haralur road,2017.0,3.0,105.0,3
2613,haralur road,1243.0,2.0,46.0,2
2614,haralur road,1243.0,2.0,46.0,2
2615,haralur road,1520.0,2.0,90.0,3
2616,haralur road,1300.0,2.0,60.0,2
2617,haralur road,1985.0,3.0,130.0,3
2618,haralur road,1255.0,2.0,90.0,3
2619,haralur road,1056.0,2.0,60.0,2
2620,haralur road,1140.0,2.0,42.0,2
2621,haralur road,1245.0,2.0,62.0,2
2622,haralur road,1140.0,2.0,58.0,2
2623,haralur road,1140.0,2.0,42.0,2
2624,haralur road,1027.0,2.0,43.0,2
2625,haralur road,1194.0,2.0,47.0,2
2626,haralur road,1194.0,2.0,47.0,2
2627,haralur road,1560.0,3.0,90.0,3
2628,haralur road,1520.0,2.0,85.0,3
2629,haralur road,1243.0,2.0,45.0,2
2630,haralur road,1027.0,2.0,44.0,2
2631,haralur road,1194.0,2.0,46.0,2
2632,haralur road,1650.0,3.0,100.0,3
2633,haralur road,1580.0,3.0,73.0,3
2634,haralur road,1243.0,2.0,46.0,2
2635,haralur road,1194.0,2.0,47.0,2
2637,haralur road,1520.0,2.0,96.0,3
2638,haralur road,1510.0,3.0,83.05,3
2639,haralur road,1056.0,2.0,65.0,2
2640,haralur road,1810.0,3.0,100.0,3
2641,haralur road,1243.0,2.0,46.0,2
2642,haralur road,575.0,1.0,38.0,1
2643,haralur road,1194.0,2.0,46.0,2
2644,haralur road,1243.0,2.0,46.0,2
2645,haralur road,1194.0,2.0,46.0,2
2646,haralur road,1140.0,2.0,43.0,2
2647,haralur road,1850.0,3.0,120.0,3
2648,haralur road,1194.0,2.0,47.0,2
2649,haralur road,1194.0,2.0,47.0,2
2651,haralur road,1243.0,2.0,46.0,2
2652,haralur road,1710.0,3.0,85.0,3
2653,haralur road,1730.0,3.0,95.0,3
2654,haralur road,1243.0,2.0,46.0,2
2655,haralur road,1243.0,2.0,46.0,2
2656,haralur road,1243.0,2.0,46.0,2
2657,haralur road,1817.0,3.0,110.0,3
2658,haralur road,1225.0,2.0,77.0,2
2659,haralur road,1285.0,2.0,78.0,2
2660,haralur road,1225.0,2.0,67.48,2
2661,haralur road,1225.0,2.0,69.84,2
2662,haralur road,1200.0,2.0,46.0,2
2663,haralur road,1315.0,2.0,85.0,2
2664,haralur road,1976.0,3.0,92.0,3
2665,haralur road,1300.0,2.0,75.0,2
2666,haralur road,1309.0,2.0,82.0,2
2667,haralur road,1027.0,1.0,44.0,2
2668,haralur road,1243.0,2.0,46.0,2
2669,haralur road,1243.0,2.0,46.0,2
2670,haralur road,1140.0,2.0,43.0,2
2671,haralur road,1300.0,2.0,75.0,2
2672,haralur road,1243.0,2.0,46.0,2
2673,haralur road,1890.0,3.0,84.0,3
2674,haralur road,1230.0,2.0,67.65,2
2675,haralur road,1194.0,2.0,46.0,2
2676,haralur road,1092.0,2.0,44.0,2
2678,haralur road,1255.0,3.0,90.0,3
2679,haralur road,1735.0,3.0,97.0,3
2680,haralur road,1810.0,3.0,97.83,3
2681,haralur road,1200.0,2.0,46.0,2
2682,haralur road,1243.0,2.0,46.0,2
2683,haralur road,1810.0,3.0,112.0,3
2684,harlur,1508.0,2.0,77.0,2
2685,harlur,1752.12,3.0,135.0,3
2688,harlur,1709.0,3.0,150.0,3
2689,harlur,1174.0,2.0,69.0,2
2690,harlur,1033.0,2.0,49.0,2
2691,harlur,1197.0,2.0,84.0,2
2692,harlur,1757.0,3.0,132.0,3
2693,harlur,1174.0,2.0,76.0,2
2694,harlur,1754.0,3.0,125.0,3
2695,harlur,1290.0,2.0,85.0,2
2696,harlur,1752.12,3.0,116.0,3
2697,harlur,1754.0,3.0,135.0,3
2698,harlur,1754.0,3.0,124.0,3
2699,harlur,1152.0,2.0,69.0,2
2700,harlur,1290.0,2.0,87.0,2
2701,harlur,1749.0,3.0,115.0,3
2702,harlur,3385.0,4.0,260.0,4
2703,harlur,2240.0,5.0,155.0,3
2704,harlur,1758.0,3.0,133.0,3
2706,harlur,1197.0,2.0,79.0,2
2707,harlur,1174.0,2.0,78.0,2
2710,harlur,1200.0,2.0,52.0,2
2711,harlur,1197.0,2.0,79.0,2
2712,harlur,1749.0,3.0,112.0,3
2713,harlur,1174.0,2.0,75.0,2
2714,harlur,1750.0,3.0,136.0,3
2715,harlur,1620.0,3.0,110.0,3
2718,harlur,1762.0,3.0,133.0,3
2719,harlur,1756.0,3.0,131.0,3
2720,harlur,1755.0,3.0,130.0,3
2721,harlur,1864.0,3.0,140.0,3
2722,harlur,1331.0,2.0,88.0,2
2723,harlur,1752.12,3.0,133.0,3
2724,harlur,1133.0,2.0,55.0,2
2725,harlur,1756.0,3.0,128.0,3
2726,harlur,1749.0,3.0,120.0,3
2727,harlur,1197.0,2.0,82.0,2
2728,harlur,1303.0,2.0,90.0,2
2729,harlur,1754.0,3.0,132.0,3
2730,harlur,1174.0,2.0,75.0,2
2731,harlur,1756.0,3.0,134.0,3
2732,harlur,1197.0,2.0,78.0,2
2733,harlur,1290.0,2.0,89.9,2
2734,harlur,1386.0,2.0,85.0,2
2735,harlur,1174.0,2.0,74.0,2
2736,harlur,1174.0,2.0,78.0,2
2738,harlur,1755.0,3.0,115.0,3
2740,harlur,2569.0,4.0,175.0,4
2742,harlur,1197.0,2.0,77.0,2
2743,harlur,1752.12,3.0,125.0,3
2744,harlur,2569.0,5.0,180.0,4
2745,harlur,1225.0,2.0,56.0,2
2746,harlur,1197.0,2.0,76.0,2
2748,harlur,1197.0,2.0,75.0,2
2749,harlur,1755.0,3.0,117.0,3
2750,harlur,1197.0,2.0,79.9,2
2751,harlur,936.0,2.0,45.0,2
2752,harlur,2990.0,4.0,225.0,4
2753,harlur,1370.0,2.0,88.0,2
2754,harlur,1335.0,2.0,72.76,2
2755,hbr layout,2800.0,2.0,200.0,3
2756,hbr layout,1722.0,3.0,95.0,3
2757,hbr layout,1200.0,4.0,120.0,4
2758,hbr layout,1200.0,2.0,60.0,2
2759,hbr layout,1004.0,2.0,49.0,2
2760,hbr layout,1783.0,3.0,125.0,3
2761,hbr layout,1656.0,3.0,90.0,3
2762,hbr layout,1089.0,2.0,60.0,2
2763,hbr layout,1700.0,3.0,110.0,3
2764,hbr layout,1198.0,2.0,65.0,2
2765,hbr layout,1200.0,4.0,115.0,4
2766,hbr layout,1200.0,2.0,120.0,2
2767,hbr layout,1832.0,3.0,160.0,3
2768,hebbal,1760.0,2.0,123.0,3
2769,hebbal,5611.5,4.0,477.0,4
2771,hebbal,1349.0,2.0,98.2,2
2772,hebbal,2483.0,5.0,212.0,4
2773,hebbal,1760.0,2.0,130.0,3
2774,hebbal,3450.0,5.0,260.0,3
2775,hebbal,1920.0,3.0,134.0,3
2776,hebbal,1337.0,2.0,82.0,2
2777,hebbal,1349.0,2.0,98.0,2
2780,hebbal,1790.0,3.0,127.0,3
2781,hebbal,687.325,2.0,42.72,2
2782,hebbal,2790.0,5.0,198.0,4
2783,hebbal,1985.0,4.0,189.0,3
2784,hebbal,2483.0,5.0,215.0,4
2785,hebbal,1080.0,2.0,54.0,2
2786,hebbal,812.0,2.0,55.0,2
2787,hebbal,2790.0,4.0,198.0,4
2788,hebbal,1075.0,2.0,52.0,2
2789,hebbal,3067.0,4.0,230.0,4
2790,hebbal,2526.0,2.0,250.0,3
2791,hebbal,3067.0,4.0,230.0,4
2793,hebbal,823.0,2.0,50.63,2
2794,hebbal,1420.0,2.0,123.0,2
2796,hebbal,1420.0,2.0,99.39,2
2797,hebbal,4235.0,4.0,365.0,4
2798,hebbal,1700.0,3.0,124.0,3
2799,hebbal,3960.0,5.0,386.0,4
2801,hebbal,1420.0,2.0,99.39,2
2803,hebbal,1440.0,2.0,115.0,2
2804,hebbal,1100.0,2.0,54.0,2
2806,hebbal,2400.0,4.0,180.0,3
2808,hebbal,1420.0,2.0,107.0,2
2809,hebbal,1320.0,2.0,92.0,2
2810,hebbal,919.0,2.0,49.0,2
2811,hebbal,1645.0,3.0,135.0,3
2812,hebbal,2080.0,3.0,175.0,3
2814,hebbal,2483.0,5.0,230.0,4
2815,hebbal,2600.0,3.0,195.0,3
2816,hebbal,1645.0,3.0,117.0,3
2817,hebbal,1251.0,2.0,88.73,2
2818,hebbal,1645.0,3.0,121.0,3
2819,hebbal,1760.0,3.0,123.0,3
2820,hebbal,2790.0,4.0,198.0,4
2821,hebbal,3960.0,5.0,386.0,4
2822,hebbal,1645.0,3.0,120.0,3
2823,hebbal,1255.0,2.0,90.0,3
2824,hebbal,1645.0,3.0,117.0,3
2827,hebbal,1636.0,3.0,119.0,3
2828,hebbal,2661.0,2.0,226.5,3
2829,hebbal,1255.0,2.0,95.0,3
2830,hebbal,2790.0,4.0,198.0,4
2832,hebbal,1255.0,2.0,95.0,3
2833,hebbal,1088.0,2.0,61.45,2
2834,hebbal,1349.0,2.0,97.8,2
2836,hebbal,1344.0,2.0,108.0,2
2837,hebbal,1255.0,2.0,90.0,3
2839,hebbal,1138.0,2.0,110.0,2
2840,hebbal,2790.0,5.0,204.0,4
2841,hebbal,1088.0,2.0,62.0,2
2842,hebbal,1987.0,4.0,165.0,3
2843,hebbal,2790.0,5.0,198.0,4
2844,hebbal,1299.0,2.0,100.0,2
2845,hebbal,1200.0,2.0,60.0,2
2846,hebbal,1645.0,3.0,117.0,3
2847,hebbal,1390.0,2.0,95.0,2
2848,hebbal,1333.0,2.0,100.0,2
2850,hebbal,2650.0,4.0,199.0,3
2851,hebbal,1800.0,3.0,140.0,3
2853,hebbal,2470.0,4.0,203.0,4
2854,hebbal,1255.0,2.0,95.0,3
2855,hebbal,1333.0,2.0,104.0,2
2856,hebbal,1645.0,3.0,117.0,3
2857,hebbal,2600.0,3.0,199.0,3
2858,hebbal,1345.0,2.0,97.0,2
2860,hebbal,985.0,2.0,62.0,2
2861,hebbal,1320.0,2.0,91.0,2
2862,hebbal,2388.0,3.0,195.0,3
2863,hebbal,1040.0,2.0,55.0,2
2865,hebbal,2600.0,3.0,195.0,3
2866,hebbal,1075.0,2.0,52.0,2
2867,hebbal,2630.0,5.0,188.0,4
2868,hebbal,2790.0,5.0,198.0,4
2869,hebbal,1645.0,3.0,113.0,3
2871,hebbal,1420.0,2.0,99.39,2
2873,hebbal,3520.0,5.0,320.0,3
2874,hebbal,1162.0,2.0,69.0,2
2875,hebbal,1100.0,2.0,60.0,2
2876,hebbal,4235.0,5.0,364.0,4
2877,hebbal,1299.0,2.0,97.0,2
2879,hebbal,2470.0,5.0,192.0,4
2880,hebbal,1645.0,3.0,117.0,3
2881,hebbal,1920.0,3.0,134.0,3
2882,hebbal,3520.0,5.0,240.0,3
2883,hebbal,1920.0,3.0,150.0,3
2884,hebbal,2375.0,4.0,189.0,4
2885,hebbal,1420.0,2.0,99.26,2
2886,hebbal,1252.0,2.0,92.0,2
2887,hebbal,2790.0,4.0,198.0,4
2888,hebbal,1162.0,2.0,59.0,2
2889,hebbal,1294.0,2.0,115.0,2
2890,hebbal,4225.0,6.0,359.0,4
2891,hebbal,1150.0,2.0,57.0,2
2892,hebbal,1740.0,2.0,137.0,3
2894,hebbal,1662.0,3.0,155.0,3
2895,hebbal,2250.0,3.0,219.0,3
2896,hebbal,1349.0,2.0,98.0,2
2897,hebbal,4000.0,6.0,370.0,4
2898,hebbal,1349.0,2.0,96.8,2
2899,hebbal kempapura,1700.0,3.0,155.0,3
2900,hebbal kempapura,1800.0,3.0,175.0,3
2901,hebbal kempapura,2900.0,4.0,300.0,3
2902,hebbal kempapura,3522.0,3.0,380.0,3
2903,hebbal kempapura,2280.0,5.0,200.0,5
2904,hebbal kempapura,1200.0,2.0,125.0,2
2905,hebbal kempapura,2900.0,4.0,240.0,3
2907,hebbal kempapura,1300.0,2.0,102.0,2
2908,hebbal kempapura,1466.0,2.0,140.0,3
2910,hebbal kempapura,1725.0,2.0,165.0,3
2911,hebbal kempapura,1200.0,3.0,125.0,3
2912,hebbal kempapura,3408.0,3.0,260.0,3
2913,hebbal kempapura,1485.0,3.0,132.0,2
2914,hebbal kempapura,1400.0,2.0,108.0,2
2915,hebbal kempapura,1800.0,3.0,150.0,3
2916,hebbal kempapura,2400.0,5.0,200.0,5
2917,hebbal kempapura,2800.0,5.0,220.0,5
2918,hebbal kempapura,1785.0,3.0,165.0,3
2919,hebbal kempapura,3729.0,4.0,384.0,4
2920,hebbal kempapura,1600.0,3.0,170.0,3
2921,hebbal kempapura,1730.0,3.0,175.0,3
2923,hegde nagar,1569.0,3.0,101.0,3
2924,hegde nagar,3000.0,7.0,210.0,6
2925,hegde nagar,2026.0,3.0,132.0,3
2926,hegde nagar,1801.0,3.0,115.0,3
2927,hegde nagar,1050.0,1.0,56.0,2
2928,hegde nagar,1341.0,2.0,97.0,2
2929,hegde nagar,2112.95,4.0,145.0,3
2930,hegde nagar,1200.0,4.0,83.0,4
2931,hegde nagar,1703.0,3.0,113.0,3
2932,hegde nagar,1570.0,3.0,105.0,3
2933,hegde nagar,1801.0,3.0,140.0,3
2934,hegde nagar,1584.01,3.0,103.0,3
2935,hegde nagar,1965.0,4.0,125.0,3
2936,hegde nagar,1200.0,2.0,75.0,2
2937,hegde nagar,1847.0,3.0,135.0,3
2938,hegde nagar,1965.0,4.0,132.0,3
2939,hegde nagar,1703.0,3.0,125.0,3
2940,hegde nagar,1847.0,3.0,125.0,3
2941,hegde nagar,2144.6,4.0,145.0,3
2942,hegde nagar,1718.0,3.0,119.0,3
2943,hegde nagar,1847.0,3.0,123.0,3
2944,hegde nagar,1340.0,2.0,72.0,2
2945,hegde nagar,2087.01,3.0,115.0,3
2946,hegde nagar,1703.0,3.0,130.0,3
2947,hegde nagar,2087.01,4.0,135.0,3
2948,hegde nagar,1718.0,3.0,130.0,3
2949,hegde nagar,1884.0,4.0,118.0,3
2950,hegde nagar,1930.0,4.0,122.0,3
2951,hegde nagar,1584.01,3.0,104.0,3
2952,hegde nagar,1168.0,2.0,68.0,3
2953,hegde nagar,2162.03,4.0,129.0,3
2954,hegde nagar,2087.01,4.0,160.0,3
2955,hegde nagar,1000.0,2.0,66.0,2
2956,hegde nagar,1348.0,2.0,80.5,3
2957,hennur,1075.0,2.0,52.0,2
2958,hennur,1255.0,2.0,52.32,2
2959,hennur,1225.0,2.0,57.0,2
2960,hennur,1255.0,2.0,57.5,2
2961,hennur,1259.0,2.0,57.0,2
2962,hennur,1255.0,2.0,53.5,2
2963,hennur,1285.0,2.0,60.0,2
2964,hennur,1285.0,2.0,60.0,2
2965,hennur,1100.0,2.0,60.0,2
2966,hennur,1231.0,2.0,48.0,2
2967,hennur,1255.0,2.0,58.0,2
2968,hennur,1040.0,2.0,42.12,2
2969,hennur,1255.0,2.0,54.5,2
2970,hennur,1041.0,2.0,40.6,2
2972,hennur,1255.0,2.0,55.5,2
2974,hennur,1231.0,2.0,50.0,2
2975,hennur,2500.0,5.0,125.0,5
2976,hennur,1160.0,2.0,49.0,2
2977,hennur,2400.0,3.0,135.0,3
2978,hennur,1255.0,2.0,53.5,2
2979,hennur,1255.0,2.0,55.5,2
2980,hennur,1100.0,2.0,44.55,2
2981,hennur,1255.0,2.0,57.5,2
2982,hennur,960.0,2.0,48.0,2
2983,hennur,1020.0,2.0,48.0,2
2984,hennur,1255.0,2.0,52.32,2
2985,hennur,1295.0,2.0,64.0,2
2986,hennur,1935.0,3.0,102.0,3
2988,hennur,1345.0,2.0,69.0,3
2989,hennur,1255.0,2.0,58.0,2
2990,hennur,1420.0,2.0,62.0,2
2991,hennur,1155.0,2.0,54.5,2
2992,hennur,1255.0,2.0,52.32,2
2993,hennur,1255.0,2.0,52.35,2
2996,hennur,1255.0,2.0,54.5,2
2997,hennur,1830.0,2.0,113.0,3
2998,hennur,1830.5,3.0,84.205,3
2999,hennur,1255.0,2.0,55.5,2
3000,hennur,1255.0,2.0,53.57,2
3001,hennur,1255.0,2.0,56.5,2
3002,hennur,1050.0,2.0,42.73,2
3003,hennur,1295.0,2.0,62.0,2
3004,hennur road,2089.0,3.0,140.0,3
3005,hennur road,3203.5,2.0,224.5,4
3006,hennur road,5000.0,8.0,250.0,8
3007,hennur road,1385.0,2.0,83.09,2
3008,hennur road,1317.5,2.0,63.77,2
3010,hennur road,2264.0,3.0,159.0,3
3011,hennur road,1157.0,2.0,84.0,2
3012,hennur road,1904.0,3.0,120.0,3
3013,hennur road,1891.0,3.0,109.0,3
3014,hennur road,1561.0,3.0,95.0,3
3016,hennur road,2060.0,3.0,149.0,3
3017,hennur road,1482.0,2.0,92.0,3
3018,hennur road,1232.0,2.0,89.0,2
3019,hennur road,1065.0,2.0,42.6,2
3021,hennur road,1482.0,2.0,87.0,3
3022,hennur road,1891.0,3.0,139.0,3
3023,hennur road,1703.0,3.0,101.0,3
3024,hennur road,1232.0,2.0,69.61,2
3025,hennur road,987.0,2.0,49.0,2
3027,hennur road,2160.0,3.0,160.0,3
3029,hennur road,1680.0,3.0,99.27,3
3030,hennur road,1065.0,2.0,42.6,2
3031,hennur road,1385.0,2.0,83.09,2
3033,hennur road,2350.0,3.0,174.0,3
3034,hennur road,1586.0,3.0,93.94,3
3035,hennur road,1975.0,3.0,123.0,3
3037,hennur road,1290.0,2.0,94.5,3
3038,hennur road,901.0,2.0,49.5,2
3039,hennur road,1445.0,3.0,86.56,3
3040,hennur road,1482.0,2.0,97.0,3
3041,hennur road,1182.0,2.0,82.5,2
3043,hennur road,1036.0,2.0,59.46,2
3044,hennur road,1891.0,3.0,109.0,3
3045,hennur road,1232.0,2.0,69.61,2
3047,hennur road,2320.0,3.0,170.0,3
3048,hennur road,1936.0,3.0,118.0,3
3049,hennur road,1480.0,2.0,65.0,2
3050,hennur road,1590.0,3.0,96.5,3
3051,hennur road,1445.0,2.0,105.0,3
3052,hennur road,1036.0,2.0,59.45,2
3053,hennur road,1832.0,3.0,125.0,3
3054,hennur road,1359.0,2.0,104.0,2
3055,hennur road,1341.0,2.0,75.76,2
3056,hennur road,1040.0,2.0,50.0,2
3058,hennur road,1414.0,2.0,84.18,2
3059,hennur road,1949.0,3.0,133.0,3
3060,hennur road,1232.0,2.0,89.0,2
3061,hennur road,1250.0,2.0,77.88,3
3062,hennur road,2502.0,4.0,180.0,4
